school_id,school_name,school_address,school_city,school_state,school_type,number_of_students,work_and_study,average_age,grade_retention,ethnicity_hispanic,ethnicity_gmayan,%_studying_accounting,%_studying_secretary,%_studying_teaching_edu,%_studying_university_prep,Linguistics_2017,Linguistics_2018,Linguistics_2019,Mathematics_2017,Mathematics_2018,Mathematics_2019
00-01-0158-46,COLEGIO TECNICO PROGRESISTA CETECPRO,2A. AVENIDA 3-59,Zona 1,Ciudad Capital,Privado,27,36.00,18.33,14.81,92.59,7.41,27,,,,66.67,37.50,18.52,16.67,6.25,0.00
00-01-0173-46,INSTITUTO NORMAL PARA SE�ORITAS CENTRO AMERICA,1A CALLE 2-64,Zona 1,Ciudad Capital,Oficial,81,7.79,17.85,6.17,92.59,6.17,,,81,,61.86,46.07,54.32,1.03,3.37,6.17
00-01-0174-46,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-27,Zona 1,Ciudad Capital,Oficial,252,9.35,17.81,8.73,93.25,4.76,,252,,,57.06,55.61,46.83,1.13,2.24,5.16
00-01-0176-46,INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,Zona 1,Ciudad Capital,Oficial,159,10.06,16.74,2.52,98.11,1.26,,,,159,69.38,69.29,72.96,26.88,32.86,39.62
00-01-0178-46,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,Zona 1,Ciudad Capital,Oficial,32,80.00,25.91,28.13,65.62,34.38,24,8,,,14.71,32.43,25.00,8.82,5.41,0.00
00-01-0180-46,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,Zona 1,Ciudad Capital,Oficial,14,78.57,27.36,50.00,64.29,35.71,14,,,,0.00,10.00,14.29,0.00,0.00,7.14
00-01-0182-46,LICEO MIXTO CIENCIAS SECRETARIALES,4A AVE. 4-12,Zona 1,Ciudad Capital,Privado,26,3.85,17.77,15.38,96.15,3.85,8,18,,,34.29,39.02,42.31,0.00,0.00,0.00
00-01-0183-46,INSTITUTO NORMAL CASA CENTRAL,1A AVE. 13-63,Zona 1,Ciudad Capital,Privado,91,3.30,17.64,5.49,87.91,9.89,27,,36,28,84.54,71.11,71.43,19.59,18.89,24.18
00-01-0191-46,INSTITUTO MIXTO COACTEMALAN,11 CALLE 10-43,Zona 1,Ciudad Capital,Privado,22,14.29,17.91,0.00,77.27,22.73,22,,,,90.91,66.67,63.64,4.55,6.67,4.55
00-01-0192-46,INSTITUTO PROFESIONAL DE TECNICAS COMERCIALES ESPECIALIZADAS IPTCE,7A AVE. 3-48,Zona 1,Ciudad Capital,Privado,91,5.56,17.40,4.40,97.80,2.20,39,,,52,69.23,66.96,68.13,25.96,10.71,24.18
00-01-0197-46,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,Zona 1,Ciudad Capital,Privado,3,66.67,23.67,33.33,100.00,0.00,1,1,,1,N/D,0.00,0.00,N/D,0.00,0.00
00-01-0202-46,"INSTITUTO MIXTO "" MIGUEL DE CERVANTES """,12 AVENIDA 8-35 ZONA 1,Zona 1,Ciudad Capital,Privado,53,28.00,17.85,18.87,98.11,0.00,20,7,,26,45.45,31.82,32.08,4.55,4.55,3.77
00-01-0204-46,INSTITUTO NACIONAL DE BACHILLERATO ADSC. AL INCA,1A CALLE 2-64,Zona 1,Ciudad Capital,Oficial,100,10.31,17.13,11.00,88.00,9.00,,,,100,62.81,66.67,59.00,8.26,16.24,11.00
00-01-0205-46,"INSTITUTO NORMAL CENTRAL PARA SE�ORITAS ""BELEN""",11 AVE. 12-20,Zona 1,Ciudad Capital,Oficial,91,2.27,17.74,10.99,89.01,9.89,,,56,35,51.70,37.30,43.96,1.36,3.17,3.30
00-01-0206-46,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,"9A CALLE 2-36,",Zona 1,Ciudad Capital,Oficial,65,17.74,17.49,12.31,81.54,15.38,,,15,50,41.18,34.04,41.54,3.92,0.00,3.08
00-01-0207-46,INSTITUTO NORMAL MIXTO RAFAEL AQUECHE,9A CALLE 2-36,Zona 1,Ciudad Capital,Oficial,31,12.90,17.94,29.03,90.32,6.45,,,6,25,45.83,38.46,29.03,8.33,10.26,6.45
00-01-0208-46,INSTITUTO NORMAL MIXTO NOCTURNO,9A AVE. 9-27,Zona 1,Ciudad Capital,Oficial,11,63.64,25.27,18.18,81.82,9.09,,,,11,33.33,14.29,36.36,0.00,0.00,18.18
00-01-0210-46,COLEGIO CATOLICO SAN PABLO,14 CALLE A 2-41,Zona 1,Ciudad Capital,Privado,70,3.03,17.29,4.29,92.86,5.71,27,,,43,78.72,79.49,82.86,38.30,64.10,58.57
00-01-0212-46,INSTITUTO PRIVADO PARA VARONES DE EDUCACION DIVERSIFICADA COLEGIO SALESIANO DON BOSCO,26 CALLE 2-46,Zona 1,Ciudad Capital,Privado,124,3.25,16.79,2.42,98.39,1.61,,,,124,95.58,100.00,98.39,89.38,92.54,94.35
00-01-0218-46,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,Zona 1,Ciudad Capital,Privado,35,85.71,28.77,34.29,57.14,37.14,,,,35,14.29,25.00,25.71,0.00,0.00,0.00
00-01-0219-46,CENTRO DE ESTUDIOS WINBRIDGE,8A CALLE 2-40,Zona 1,Ciudad Capital,Privado,13,0.00,18.23,23.08,100.00,0.00,,13,,,92.86,69.57,100.00,21.43,21.74,7.69
00-01-0220-46,"LICEO "" FRANCES """,5A AVE. 9-80,Zona 1,Ciudad Capital,Privado,24,0.00,17.29,4.17,95.83,4.17,5,9,4,6,85.00,90.00,87.50,10.00,20.00,33.33
00-01-0222-46,"COLEGIO ""SANTA MONICA""",10A CALLE 11-41,Zona 1,Ciudad Capital,Privado,25,4.00,17.72,8.00,100.00,0.00,1,5,7,12,88.00,94.12,92.00,28.00,41.18,16.00
00-01-0223-46,COLEGIO EL ROSARIO,15 CALLE A 2-74,Zona 1,Ciudad Capital,Privado,79,5.06,17.54,3.80,92.41,6.33,33,21,,25,66.15,55.17,77.22,20.00,13.79,22.78
00-01-0225-46,COLEGIO COMERCIAL GUATEMALTECO,10A CALLE 11-44,Zona 1,Ciudad Capital,Privado,49,4.17,17.02,2.04,97.96,0.00,,24,,25,83.08,82.98,79.59,24.62,14.89,18.37
00-01-0226-46,INSTITUTO BELGA GUATEMALTECO,9A CALLE 10-38,Zona 1,Ciudad Capital,Privado,81,0.00,17.00,0.00,98.77,1.23,9,,7,65,91.51,97.67,92.59,50.94,40.70,61.73
00-01-0227-46,"COLEGIO DE SE�ORITAS ""EL SAGRADO CORAZ�N""",9A AVE. 13-57,Zona 1,Ciudad Capital,Privado,68,0.00,17.31,7.35,100.00,0.00,6,6,12,44,96.67,91.94,88.24,48.33,59.68,75.00
00-01-0238-46,INSTITUTO DE EDUCACION DIVERSIFICADA TECNOLOGICO DE COMPUTACION (I.T.C.),2A CALLE 11-65,Zona 1,Ciudad Capital,Privado,58,3.51,17.55,6.90,93.10,5.17,25,,,33,77.55,78.30,75.86,59.18,56.60,65.52
00-01-0240-46,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,8A CALLE 2-46,Zona 1,Ciudad Capital,Privado,39,7.69,17.03,2.56,100.00,0.00,,,,39,77.78,57.14,66.67,27.78,23.81,28.21
00-01-0243-46,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8A CALLE 12-46,Zona 1,Ciudad Capital,Privado,22,9.09,18.05,22.73,90.91,9.09,4,3,10,5,45.00,37.50,27.27,5.00,8.33,9.09
00-01-0247-46,INSTITUTO PARTICULAR MIXTO JOSE MARTI,8A CALLE 12-41,Zona 1,Ciudad Capital,Privado,12,70.00,22.92,33.33,83.33,16.67,1,,8,3,33.33,25.00,8.33,0.00,0.00,0.00
00-01-0248-46,COLEGIO EL CAMINO,10A CALLE 11-46,Zona 1,Ciudad Capital,Privado,2,0.00,16.50,0.00,100.00,0.00,2,,,,80.00,66.67,100.00,0.00,8.33,0.00
00-01-0249-46,LICEO MONTESSORI,7A CALLE 12-51,Zona 1,Ciudad Capital,Privado,8,0.00,17.38,25.00,87.50,12.50,,,,8,41.67,33.33,25.00,0.00,0.00,0.00
00-01-0251-46,LICEO MERCANTIL,12 AVE. 12-31,Zona 1,Ciudad Capital,Privado,59,8.47,17.73,8.47,98.31,1.69,35,,,24,53.33,44.44,66.10,6.67,13.33,18.64
00-01-0253-46,INSTITUTO Y ACADEMIA PRACTICA COMERCIAL,6A. CALLE 0-25,Zona 1,Ciudad Capital,Privado,32,9.38,18.41,21.88,96.88,0.00,9,,8,15,56.67,29.41,46.88,10.00,1.96,12.50
00-01-0254-46,"COLEGIO MIXTO ""INDO LATINO""",4A AVE. 13-35,Zona 1,Ciudad Capital,Privado,29,33.33,18.66,20.69,79.31,13.79,8,2,6,13,23.40,25.58,31.03,2.13,2.33,0.00
00-01-0261-46,INSTITUTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,8A CALLE 2-46,Zona 1,Ciudad Capital,Privado,16,6.25,17.81,0.00,100.00,0.00,16,,,,43.75,71.43,62.50,37.50,42.86,31.25
00-01-0281-46,CENTRO CULTURAL DE LAS AMERICAS NO. 3,2A. AVENIDA 12-23,Zona 1,Ciudad Capital,Privado,94,32.26,18.36,20.21,89.36,10.64,94,,,,31.37,40.96,44.68,3.92,6.02,2.13
00-01-0309-46,COLEGIO DE INNOVACI�N TECNOL�GICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,Zona 1,Ciudad Capital,Privado,27,11.54,17.04,18.52,92.59,7.41,,,,27,51.02,45.24,77.78,12.24,7.14,29.63
00-01-0318-46,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,Zona 1,Ciudad Capital,Privado,44,34.88,18.25,13.64,90.91,9.09,23,,,21,57.69,50.00,38.64,7.69,3.12,4.55
00-01-0322-46,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,Zona 1,Ciudad Capital,Privado,17,81.25,28.00,47.06,70.59,23.53,,,,17,38.46,30.00,5.88,0.00,10.00,0.00
00-01-0323-46,LICEO HISPANOAMERICANO NO. 2,2A. CALLE 7-11,Zona 1,Ciudad Capital,Privado,14,92.31,20.64,35.71,85.71,14.29,4,3,,7,36.11,12.50,21.43,0.00,4.17,0.00
00-01-0339-46,COLEGIO INTERNACIONAL CAMBRIDGE (CIS),"3A. AVENIDA ""A"" 3-28",Zona 1,Ciudad Capital,Privado,22,18.18,17.82,13.64,90.91,9.09,10,,,12,54.72,66.67,68.18,9.43,33.33,27.27
00-01-0340-46,COLEGIO INTERNACIONAL CAMBRIDGE (CIS),"3A. AVENIDA ""A"" 3-28",Zona 1,Ciudad Capital,Privado,4,0.00,18.50,25.00,100.00,0.00,4,,,,25.00,66.67,50.00,0.00,33.33,75.00
00-01-0343-46,CENTRO CULTURAL DE LAS AMERICAS NO. 3,2A. AVENIDA 12-23,Zona 1,Ciudad Capital,Privado,30,66.67,20.20,43.33,93.33,6.67,11,6,,13,28.57,26.83,23.33,2.86,2.44,0.00
00-01-0345-46,COLEGIO SALVA TERRA,2A. AVENIDA 14-60,Zona 1,Ciudad Capital,Privado,10,90.00,20.10,20.00,70.00,30.00,3,1,,6,10.00,10.00,20.00,0.00,0.00,0.00
00-01-0354-46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,Zona 1,Ciudad Capital,Privado,8,0.00,17.12,12.50,87.50,12.50,,,,8,72.73,66.67,50.00,9.09,44.44,37.50
00-01-0360-46,CENTRO EDUCATIVO RENUEVO,6A. AVENIDA 2-34,Zona 1,Ciudad Capital,Privado,165,80.00,24.15,47.88,41.82,56.36,,,,165,9.22,6.31,7.88,1.42,0.90,0.00
00-01-0363-46,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8A. CALLE 12-46,Zona 1,Ciudad Capital,Privado,23,86.36,23.09,47.83,73.91,17.39,,,,23,19.35,30.77,13.04,3.23,7.69,0.00
00-01-0364-46,CENTRO EDUCACIONAL MIXTO PRIVADO KINGSTON,8A. CALLE 12-46,Zona 1,Ciudad Capital,Privado,4,100.00,27.25,25.00,100.00,0.00,4,,,,40.00,22.22,25.00,0.00,11.11,0.00
00-01-0366-46,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,10A. CALLE 3-15,Zona 1,Ciudad Capital,Privado,36,64.71,19.33,41.67,38.89,55.56,20,2,,14,6.67,2.44,2.78,3.33,0.00,5.56
00-01-0368-46,LICEO TECNOL�GICO MAYA DE GUATEMALA,9 CALLE 3-72,Zona 1,Ciudad Capital,Privado,73,77.46,21.14,27.40,76.71,17.81,23,20,,30,13.70,30.95,26.03,1.37,3.57,0.00
00-01-0369-46,LICEO TECNOL�GICO MAYA DE GUATEMALA,9A. CALLE 3-72,Zona 1,Ciudad Capital,Privado,20,85.00,26.80,40.00,85.00,15.00,,,,20,29.41,30.77,50.00,0.00,0.00,0.00
00-01-0376-46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,Zona 1,Ciudad Capital,Privado,7,42.86,18.29,28.57,85.71,14.29,,,,7,50.00,14.29,28.57,16.67,0.00,0.00
00-01-0377-46,LICEO TECNICO INTEGRAL SANTA TERESA DE JESUS,12 CALLE 10-37,Zona 1,Ciudad Capital,Privado,3,66.67,28.33,33.33,66.67,33.33,,,,3,0.00,50.00,33.33,0.00,0.00,0.00
00-01-0380-46,CENTRO INTERCULTURAL DE COMPUTACION Y TURISMO C.I.C.T,11 CALLE 1-56,Zona 1,Ciudad Capital,Privado,20,20.00,17.60,5.00,100.00,0.00,7,,,13,52.17,53.33,35.00,8.70,6.67,5.00
00-01-0388-46,COLEGIO DE INNOVACI�N TECNOL�GICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,Zona 1,Ciudad Capital,Privado,29,53.57,18.83,13.79,89.66,10.34,,,,29,16.22,11.43,44.83,0.00,0.00,3.45
00-01-0390-46,COLEGIO DE INNOVACI�N TECNOL�GICA EDUCATIVA (C.I.T.E.),13 CALLE 3-23,Zona 1,Ciudad Capital,Privado,45,72.09,23.09,33.33,71.11,24.44,,,,45,31.25,25.53,35.56,0.00,0.00,6.67
00-01-0396-46,COLEGIO TECNOLOGICO LA MISION,4A. AVENIDA 9-65,Zona 1,Ciudad Capital,Privado,5,20.00,18.20,20.00,100.00,0.00,4,,,1,18.18,22.22,20.00,0.00,0.00,20.00
00-01-0398-46,COLEGIO TECNOLOGICO LA MISION,4A. AVENIDA 9-65,Zona 1,Ciudad Capital,Privado,10,88.89,20.80,30.00,50.00,40.00,7,1,,2,13.64,23.08,30.00,0.00,7.69,0.00
00-01-0399-46,COLEGIO TECNOLOGICO LA MISION,4A. AVENIDA 9-65,Zona 1,Ciudad Capital,Privado,13,66.67,29.38,46.15,69.23,23.08,,,,13,11.76,20.00,23.08,0.00,0.00,0.00
00-01-0437-46,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,Zona 1,Ciudad Capital,Privado,11,9.09,17.82,36.36,72.73,9.09,,,,11,0.00,46.67,45.45,0.00,0.00,0.00
00-01-0440-46,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,Zona 1,Ciudad Capital,Privado,20,66.67,20.45,35.00,80.00,15.00,2,,,18,14.29,0.00,35.00,0.00,0.00,10.00
00-01-0441-46,LICEO MULTICULTURAL GUATEMALTECO,9A. CALLE 3-40,Zona 1,Ciudad Capital,Privado,4,100.00,19.50,100.00,100.00,0.00,,,,4,20.00,25.00,25.00,0.00,0.00,0.00
